layer,dropped_subject_index,dropped_subject_age,median_supF_full,median_supF_dropped,supF_retention
plasma_cytokine,51,32.33,35.504388155748,40.56904298458608,1.1426487003978447
plasma_cytokine,52,71.56,35.504388155748,35.01607624238849,0.9862464349134136
plasma_cytokine,53,69.44,35.504388155748,35.16953369292912,0.9905686457304949
plasma_cytokine,54,29.18,35.504388155748,49.92883016643827,1.4062720908585777
plasma_cytokine,55,54.36999999999999,35.504388155748,35.00960824598181,0.9860642603501367
plasma_cytokine,56,40.26,35.504388155748,31.866221742060226,0.8975291054804792
plasma_cytokine,57,44.0,35.504388155748,34.67361553084644,0.9766008465979701
plasma_cytokine,58,45.43,35.504388155748,34.72860868360347,0.9781497580315592
plasma_cytokine,59,40.98,35.504388155748,34.33190989297635,0.9669765253346061
plasma_cytokine,60,50.19,35.504388155748,34.89962619867549,0.9829665574176469
plasma_cytokine,61,48.32,35.504388155748,34.96514406880195,0.9848119031208047
plasma_cytokine,62,73.4,35.504388155748,33.88301210132355,0.9543330799755816
plasma_cytokine,63,75.23,35.504388155748,35.20427517670492,0.9915471581223546
plasma_cytokine,64,63.04,35.504388155748,35.159505000280134,0.9902861822613317
plasma_cytokine,65,68.86,35.504388155748,35.2585379327265,0.9930754975429226
plasma_cytokine,66,69.79,35.504388155748,35.22838767453085,0.9922262994645503
plasma_cytokine,67,61.94,35.504388155748,35.16707121205427,0.990499288645279
plasma_cytokine,68,45.68,35.504388155748,34.81847387893579,0.9806808591151241
plasma_cytokine,69,46.05,35.504388155748,34.82645619763993,0.9809056853723497
plasma_cytokine,70,45.06,35.504388155748,34.799139444339545,0.980136294468314
plasma_cytokine,71,56.13,35.504388155748,35.06224685463027,0.9875468547950134
plasma_cytokine,72,47.19,35.504388155748,34.958685830351286,0.9846300033955557
plasma_cytokine,73,53.68,35.504388155748,35.014884479331336,0.9862128682722443
plasma_cytokine,74,39.39,35.504388155748,32.13931237610711,0.9052208486207611
plasma_cytokine,75,52.46,35.504388155748,34.98662304486302,0.9854168699200311
plasma_cytokine,76,48.97,35.504388155748,34.90219254265332,0.9830388398624694
plasma_cytokine,77,41.65,35.504388155748,34.80179021720417,0.9802109548976953
plasma_cytokine,78,52.94,35.504388155748,36.36203751130754,1.0241561508340113
plasma_cytokine,79,65.41,35.504388155748,34.856569563532226,0.9817538443593514
plasma_cytokine,80,55.92,35.504388155748,35.080167806651,0.9880516079523447
plasma_cytokine,81,60.95000000000001,35.504388155748,35.13544270154088,0.9896084548031455
plasma_cytokine,82,54.39,35.504388155748,36.59980060086854,1.030852874870432
plasma_cytokine,83,48.85999999999999,35.504388155748,34.914116133966075,0.9833746741616116
plasma_cytokine,84,68.82,35.504388155748,34.80743035160405,0.9803698122866786
plasma_cytokine,85,52.330000000000005,35.504388155748,35.24565504375616,0.992712644114388
plasma_cytokine,86,54.02,35.504388155748,35.01330577834004,0.9861684033180992
plasma_cytokine,87,59.12,35.504388155748,35.12736147124869,0.9893808426483679
plasma_cytokine,88,41.43,35.504388155748,35.05636433957021,0.987381170625658
plasma_cytokine,89,60.105890410958914,35.504388155748,35.09267780856784,0.9884039588184396
plasma_cytokine,90,57.818,35.504388155748,35.10565700881376,0.9887695249053406
clinical_test,0,59.47999999999999,11.867616483740814,11.821554046581626,0.9961186446139125
clinical_test,1,58.4,11.867616483740814,11.725662446974942,0.9880385385759343
clinical_test,2,25.91,11.867616483740814,11.640468727759686,0.980859867160998
clinical_test,3,57.86,11.867616483740814,11.38046852806029,0.9589514915359845
clinical_test,4,58.02,11.867616483740814,13.317373747876879,1.1221607781244278
clinical_test,5,65.24,11.867616483740814,13.31066651019017,1.1215956067021884
clinical_test,6,61.17,11.867616483740814,12.902543286353454,1.0872059527732918
clinical_test,7,56.22,11.867616483740814,12.519953721516899,1.0549678394705302
clinical_test,8,49.18,11.867616483740814,11.803347260019542,0.9945844876425419
clinical_test,9,64.81,11.867616483740814,11.695421680027284,0.98549036329667
clinical_test,10,59.21,11.867616483740814,11.247921002237096,0.9477826501764082
