layer,arm,bucket,q_threshold,n_variables,crest_age,peak_n,peak_frac,min_n,min_frac,total_significant,n_windows_with_any,peak_to_floor,n_young_min,n_young_max,n_old_min,n_old_max,median_width
plasma_lipidomics,raw,25,0.01,846,,0,0.0,0,0.0,0,0,inf,6,46,17,46,23.710000000000008
plasma_lipidomics,raw,25,0.05,846,51.0,113,0.13356973995271867,0,0.0,113,1,inf,6,46,17,46,23.710000000000008
plasma_lipidomics,loess_grid,30,0.0001,846,48.0,616,0.7281323877068558,180,0.2127659574468085,10546,25,3.422222222222222,28,30,23,30,29.5
plasma_lipidomics,loess_grid,30,0.001,846,49.0,652,0.7706855791962175,235,0.2777777777777778,11955,25,2.774468085106383,28,30,23,30,29.5
plasma_lipidomics,loess_grid,30,0.01,846,50.0,698,0.8250591016548463,299,0.3534278959810875,13672,25,2.3344481605351173,28,30,23,30,29.5
plasma_lipidomics,loess_grid,30,0.05,846,52.0,741,0.875886524822695,372,0.4397163120567376,15222,25,1.9919354838709677,28,30,23,30,29.5
plasma_lipidomics,raw,30,0.0001,846,,0,0.0,0,0.0,0,0,inf,7,53,17,53,28.340000000000003
plasma_lipidomics,raw,30,0.001,846,,0,0.0,0,0.0,0,0,inf,7,53,17,53,28.340000000000003
plasma_lipidomics,raw,30,0.01,846,,0,0.0,0,0.0,0,0,inf,7,53,17,53,28.340000000000003
plasma_lipidomics,raw,30,0.05,846,50.0,203,0.23995271867612294,0,0.0,203,1,inf,7,53,17,53,28.340000000000003
