layer,breakpoint,observed_count,observed_frac,null_frac
plasma_cytokine,43.0,0,0.0,0.0065151515151515155
plasma_cytokine,44.0,0,0.0,0.03378787878787879
plasma_cytokine,45.0,0,0.0,0.032196969696969696
plasma_cytokine,46.0,0,0.0,0.03424242424242424
plasma_cytokine,47.0,0,0.0,0.023484848484848483
plasma_cytokine,48.0,0,0.0,0.018636363636363635
plasma_cytokine,49.0,0,0.0,0.031136363636363636
plasma_cytokine,50.0,0,0.0,0.026515151515151516
plasma_cytokine,51.0,0,0.0,0.01446969696969697
plasma_cytokine,52.0,0,0.0,0.029545454545454545
plasma_cytokine,53.0,0,0.0,0.018863636363636364
plasma_cytokine,54.0,0,0.0,0.043787878787878785
plasma_cytokine,55.0,0,0.0,0.0275
plasma_cytokine,56.0,0,0.0,0.04068181818181818
plasma_cytokine,57.0,0,0.0,0.019166666666666665
plasma_cytokine,58.0,0,0.0,0.03909090909090909
plasma_cytokine,59.0,0,0.0,0.03409090909090909
plasma_cytokine,60.0,0,0.0,0.04681818181818182
plasma_cytokine,61.0,0,0.0,0.06386363636363636
plasma_cytokine,62.0,0,0.0,0.0271969696969697
plasma_cytokine,63.0,0,0.0,0.04446969696969697
plasma_cytokine,64.0,0,0.0,0.022424242424242423
plasma_cytokine,65.0,1,0.02857142857142857,0.03507575757575757
plasma_cytokine,66.0,0,0.0,0.03037878787878788
plasma_cytokine,67.0,0,0.0,0.10825757575757576
plasma_cytokine,68.0,0,0.0,0.0
plasma_cytokine,69.0,0,0.0,0.0
plasma_cytokine,70.0,0,0.0,0.0
clinical_test,35.0,0,,0.0
clinical_test,36.0,0,,0.0
clinical_test,37.0,0,,0.0
clinical_test,38.0,0,,0.0
clinical_test,39.0,0,,0.0
clinical_test,40.0,0,,0.0
clinical_test,41.0,0,,0.1628888888888889
clinical_test,42.0,0,,0.025333333333333333
clinical_test,43.0,0,,0.007222222222222222
clinical_test,44.0,0,,0.03755555555555556
clinical_test,45.0,0,,0.03122222222222222
clinical_test,46.0,0,,0.03144444444444444
clinical_test,47.0,0,,0.009888888888888888
clinical_test,48.0,0,,0.017444444444444443
clinical_test,49.0,0,,0.030333333333333334
clinical_test,50.0,0,,0.023333333333333334
clinical_test,51.0,0,,0.03
clinical_test,52.0,0,,0.020555555555555556
clinical_test,53.0,0,,0.020666666666666667
clinical_test,54.0,0,,0.030333333333333334
clinical_test,55.0,0,,0.016777777777777777
clinical_test,56.0,0,,0.030333333333333334
clinical_test,57.0,0,,0.02277777777777778
clinical_test,58.0,0,,0.029222222222222222
clinical_test,59.0,0,,0.026222222222222223
clinical_test,60.0,0,,0.03155555555555556
clinical_test,61.0,0,,0.03777777777777778
clinical_test,62.0,0,,0.025333333333333333
clinical_test,63.0,0,,0.04788888888888889
clinical_test,64.0,0,,0.018666666666666668
clinical_test,65.0,0,,0.03744444444444445
clinical_test,66.0,0,,0.038
clinical_test,67.0,0,,0.15977777777777777
clinical_test,68.0,0,,0.0
clinical_test,69.0,0,,0.0
clinical_test,70.0,0,,0.0
